time	real(VinPA[1])
8.20000000000000107E-8	-3.26012215117663162E-1
8.25000000000000000E-8	-3.04359600387597018E-1
8.30000000000000071E-8	-2.54989791155206857E-1
8.34999999999999964E-8	-1.82631688827887206E-1
8.40000000000000213E-8	-9.40261968051811081E-2
8.45000000000000107E-8	2.77075376028691256E-3
8.50000000000000178E-8	9.93067438857095297E-2
8.55000000000000249E-8	1.87217677547186234E-1
8.59999999999999787E-8	2.59174816636229766E-1
8.65000000000000036E-8	3.09549109608280482E-1
8.70000000000000107E-8	3.34896589291851043E-1
8.75000000000000178E-8	3.34221410622284720E-1
8.79999999999999893E-8	3.08995519808536612E-1
8.84999999999999964E-8	2.62938037122916946E-1
8.89999999999999858E-8	2.01580827552510522E-1
8.95000000000000107E-8	1.31661276019015250E-1
9.00000000000000178E-8	6.03742685273839541E-2
9.05000000000000249E-8	-5.25300867729311705E-3
9.10000000000000320E-8	-5.91154402809652257E-2
9.15000000000000036E-8	-9.66216358760688188E-2
9.19999999999999929E-8	-1.15121189735554053E-1
9.25000000000000178E-8	-1.14127587509566064E-1
9.30000000000000071E-8	-9.53174658089477056E-2
9.35000000000000320E-8	-6.23092597729024789E-2
9.39999999999999858E-8	-2.02460800712063849E-2
9.45000000000000107E-8	2.47731747429277593E-2
9.50000000000000178E-8	6.63557904766603635E-2
9.55000000000000071E-8	9.85028318662607916E-2
9.59999999999999964E-8	1.16252828472707326E-1
9.65000000000000213E-8	1.16216829699358848E-1
9.69999999999999929E-8	9.69512851027798206E-2
9.75000000000000000E-8	5.91316245718852418E-2
9.80000000000000071E-8	5.50943086326203968E-3
9.85000000000000142E-8	-5.93422763752764304E-2
9.89999999999999858E-8	-1.29470036051750848E-1
9.95000000000000107E-8	-1.98123146856730137E-1
1.00000000000000022E-7	-2.58420985740608078E-1
1.00500000000000012E-7	-3.04038168796487263E-1
1.01000000000000001E-7	-3.29839716478107770E-1
1.01500000000000012E-7	-3.32403575001026352E-1
1.02000000000000002E-7	-3.10379240687359559E-1
1.02500000000000013E-7	-2.64647662648307902E-1
1.03000000000000003E-7	-1.98267386078442720E-1
1.03500000000000014E-7	-1.16213034978374119E-1
1.04000000000000004E-7	-2.49325836280200086E-2
1.04499999999999993E-7	6.82208382988203255E-2
1.05000000000000027E-7	1.55513863290948962E-1
1.05500000000000016E-7	2.29900146189720811E-1
1.06000000000000005E-7	2.85367284899458395E-1
1.06499999999999995E-7	3.17503569114056861E-1
1.07000000000000006E-7	3.23854861043050057E-1
1.07499999999999973E-7	3.04094732229220854E-1
1.08000000000000007E-7	2.59997035955827371E-1
1.08500000000000063E-7	1.95219774756533404E-1
1.09000000000000008E-7	1.14927310105652136E-1
1.09500000000000020E-7	2.53045812493084910E-2
1.09999999999999987E-7	-6.68728937616443808E-2
