time	imag(VinPA[1])
2.03000000000000025E-7	2.77533525964752403E-1
2.03500000000000059E-7	2.26309386923870282E-1
2.04000000000000004E-7	1.63841882681066808E-1
2.04499999999999993E-7	9.62824307451269590E-2
2.05000000000000027E-7	2.99867112467341013E-2
2.05499999999999972E-7	-2.87433875108623305E-2
2.06000000000000005E-7	-7.44018232678517322E-2
2.06500000000000039E-7	-1.02778756497708601E-1
2.07000000000000028E-7	-1.11336589789107832E-1
2.07500000000000062E-7	-9.94252534728536830E-2
2.08000000000000007E-7	-6.83158851590708061E-2
2.08500000000000041E-7	-2.10498060444973145E-2
2.08999999999999986E-7	3.78821279983418879E-2
2.09499999999999975E-7	1.03003826945806654E-1
2.10000000000000053E-7	1.68395820349580827E-1
2.10499999999999998E-7	2.28333551216279806E-1
2.11000000000000032E-7	2.77742478892420541E-1
2.11499999999999977E-7	3.12742240535462246E-1
2.12000000000000011E-7	3.31013558544833408E-1
2.12500000000000000E-7	3.32004490108620987E-1
2.12999999999999989E-7	3.16955582753579446E-1
2.13500000000000068E-7	2.88741664205031379E-1
2.14000000000000012E-7	2.51546485205954573E-1
2.14500000000000046E-7	2.10403388309220718E-1
2.14999999999999947E-7	1.70648868868114789E-1
2.15500000000000025E-7	1.37344915094583930E-1
2.16000000000000014E-7	1.14729412175867118E-1
2.16500000000000004E-7	1.05751285146303364E-1
2.17000000000000126E-7	1.11738660759976938E-1
2.17499999999999982E-7	1.32234968171767697E-1
2.18000000000000016E-7	1.65020905928036066E-1
2.18500000000000050E-7	2.06321296071993965E-1
2.19000000000000039E-7	2.51176951727990039E-1
2.19500000000000028E-7	2.93950627180900659E-1
2.19999999999999973E-7	3.28964401357528580E-1
2.20500000000000007E-7	3.50929697215762326E-1
2.21000000000000041E-7	3.55617318644929981E-1
2.21499999999999986E-7	3.40303426154304534E-1
2.21999999999999975E-7	3.04090323571325172E-1
2.22499999999999964E-7	2.48051290382297029E-1
2.22999999999999998E-7	1.75183948113391619E-1
2.23500000000000032E-7	9.01757743031840420E-2
2.24000000000000021E-7	-9.95895852038241536E-4
2.24500000000000011E-7	-9.15906235651247158E-2
2.25000000000000044E-7	-1.74707179052921724E-1
2.25499999999999989E-7	-2.43902997534272004E-1
2.26000000000000023E-7	-2.93771066548129323E-1
2.26500000000000057E-7	-3.20419236368873062E-1
2.27000000000000046E-7	-3.21807107357288480E-1
2.27500000000000080E-7	-2.97910165820198536E-1
2.28000000000000025E-7	-2.50698172827511945E-1
2.28500000000000014E-7	-1.83933147559354682E-1
2.29000000000000004E-7	-1.02809741639390584E-1
2.29499999999999993E-7	-1.34756118697926031E-2
2.29999999999999982E-7	7.75368757642929030E-2
2.30499999999999972E-7	1.63825112951205210E-1
2.31000000000000050E-7	2.39705096736737300E-1
2.31499999999999995E-7	3.00641881020994983E-1
2.31999999999999984E-7	3.43573750294268665E-1
2.32500000000000018E-7	3.67087174071752775E-1
2.33000000000000007E-7	3.71432864591155765E-1
2.33500000000000041E-7	3.58389193074525325E-1
2.34000000000000030E-7	3.30993858265433305E-1
2.34499999999999975E-7	2.93182479203168977E-1
2.34999999999999964E-7	2.49388371978487289E-1
2.35499999999999998E-7	2.04044410395608722E-1
2.36000000000000076E-7	1.61173576216551928E-1
2.36500000000000021E-7	1.24066560758437716E-1
2.37000000000000011E-7	9.50392627823843661E-2
2.37500000000000044E-7	7.53046918356592698E-2
2.38000000000000034E-7	6.49633623385722991E-2
2.38499999999999979E-7	6.31039141279480020E-2
2.38999999999999968E-7	6.79950296011788424E-2
2.39500000000000002E-7	7.73417752168217287E-2
2.39999999999999991E-7	8.86089325682297080E-2
2.40500000000000025E-7	9.92019217330799918E-2
2.40999999999999925E-7	1.06840135010088955E-1
2.41500000000000048E-7	1.09730505164227621E-1
2.42000000000000037E-7	1.06706651575640987E-1
2.42499999999999982E-7	9.72906286479461180E-2
2.42999999999999972E-7	8.16786357568837929E-2
2.43500000000000005E-7	6.06600562099617946E-2
2.44000000000000039E-7	3.54854211717939982E-2
2.44499999999999984E-7	7.68512462719685008E-3
2.45000000000000062E-7	-2.12315916141111050E-2
2.45500000000000007E-7	-4.96017601155004950E-2
2.46000000000000041E-7	-7.59185120305597483E-2
2.46500000000000030E-7	-9.89437844946852074E-2
2.46999999999999975E-7	-1.17782824351086712E-1
2.47499999999999964E-7	-1.31918509175730581E-1
2.47999999999999998E-7	-1.41207866176369468E-1
2.48500000000000032E-7	-1.45846642181392028E-1
2.49000000000000066E-7	-1.46310102511429174E-1
2.49499999999999922E-7	-1.43261665876859268E-1
2.50000000000000044E-7	-1.37364283000592446E-1
2.50500000000000078E-7	-1.29490186736916724E-1
2.50999999999999979E-7	-1.20540830988984049E-1
2.51500000000000012E-7	-1.11367743331899849E-1
2.52000000000000046E-7	-1.02722711940632427E-1
2.52499999999999991E-7	-9.52217919384137446E-2
2.52999999999999936E-7	-8.93244174658479828E-2
2.53500000000000059E-7	-8.53281132058152458E-2
2.54000000000000004E-7	-8.33785036897980270E-2
2.54499999999999993E-7	-8.34993138668519030E-2
2.54999999999999982E-7	-8.56535641635117173E-2
2.55500000000000060E-7	-8.97291031984195797E-2
2.56000000000000005E-7	-9.55872564812602121E-2
2.56499999999999995E-7	-1.03129514165656588E-1
2.57000000000000073E-7	-1.12339953012165150E-1
2.57500000000000018E-7	-1.23314057548334932E-1
2.57999999999999963E-7	-1.36267382874972420E-1
2.58499999999999996E-7	-1.51518993413913217E-1
2.58999999999999986E-7	-1.69447147394722131E-1
2.59500000000000020E-7	-1.90424005747855718E-1
2.60000000000000009E-7	-2.14798635926683046E-1
2.60500000000000043E-7	-2.42568108241788405E-1
2.61000000000000076E-7	-2.73439239702386860E-1
2.61500000000000021E-7	-3.06704300991500389E-1
2.62000000000000011E-7	-3.41182971882549868E-1
2.62500000000000089E-7	-3.75208979331512804E-1
2.62999999999999989E-7	-4.06671809782767024E-1
2.63500000000000068E-7	-4.33118628236741277E-1
2.64000000000000012E-7	-4.51914893104912263E-1
2.64499999999999957E-7	-4.60454826242306936E-1
2.65000000000000036E-7	-4.56405747333852929E-1
2.65500000000000069E-7	-4.37964240853681730E-1
2.66000000000000014E-7	-4.04098066165696856E-1
2.66500000000000004E-7	-3.54746343699579025E-1
2.66999999999999948E-7	-2.90952265787275577E-1
2.67500000000000027E-7	-2.14907444512388990E-1
2.68000000000000016E-7	-1.29894685413297672E-1
2.68500000000000005E-7	-4.01257575533370225E-2
2.69000000000000083E-7	4.95183943032126006E-2
2.69500000000000028E-7	1.33826785374774815E-1
2.70000000000000018E-7	2.07632278017504346E-1
2.70499999999999963E-7	2.66274289448577273E-1
2.70999999999999996E-7	3.05930139871339168E-1
2.71500000000000030E-7	3.23961652009105761E-1
2.72000000000000064E-7	3.19153248677142409E-1
2.72500000000000009E-7	2.91834553780230799E-1
2.73000000000000043E-7	2.43873777941235748E-1
2.73499999999999943E-7	1.78540784581507661E-1
2.74000000000000021E-7	1.00251625416428047E-1
2.74500000000000011E-7	1.42239710107679196E-2
2.74999999999999956E-7	-7.38423264647836053E-2
