time	real(VoutPA[1])
1.30500000000000038E-7	1.52346430187540016E-1
1.31000000000000005E-7	1.24272891772875060E-1
1.31499999999999995E-7	9.68763659104030594E-2
1.32000000000000006E-7	7.01064652803016664E-2
1.32500000000000018E-7	4.33228889610079371E-2
1.33000000000000007E-7	1.50552388369387558E-2
1.33499999999999974E-7	-1.71149566805042097E-2
1.34000000000000008E-7	-5.59340149249697305E-2
1.34500000000000042E-7	-1.01132814870885035E-1
1.35000000000000009E-7	-1.43759933357134795E-1
1.35499999999999998E-7	-1.71689326767277750E-1
1.36000000000000032E-7	-1.84927778050775538E-1
1.36500000000000021E-7	-1.92668172310531105E-1
1.37000000000000011E-7	-2.01771078260582737E-1
1.37499999999999978E-7	-2.14356480666280014E-1
1.38000000000000012E-7	-2.30172264927114290E-1
1.38499999999999979E-7	-2.48121604883121361E-1
1.39000000000000012E-7	-2.66591794719938591E-1
1.39500000000000002E-7	-2.83600612373441985E-1
1.40000000000000013E-7	-2.97262330776233830E-1
1.40500000000000025E-7	-3.06315706616680439E-1
1.41000000000000014E-7	-3.10354904837111656E-1
1.41500000000000004E-7	-3.09709599659552870E-1
1.41999999999999948E-7	-3.05101686491711810E-1
1.42500000000000027E-7	-2.97334990268019439E-1
1.42999999999999994E-7	-2.87150447838824707E-1
1.43499999999999983E-7	-2.75226254649668656E-1
1.44000000000000017E-7	-2.62231591730558122E-1
1.44500000000000028E-7	-2.48880733569104873E-1
1.44999999999999996E-7	-2.35991307697932484E-1
1.45500000000000007E-7	-2.24375759534117858E-1
1.45999999999999996E-7	-2.14840709181396772E-1
1.46500000000000030E-7	-2.08044719085455343E-1
1.47000000000000020E-7	-2.04365692867401094E-1
1.47500000000000053E-7	-2.03793259878210886E-1
1.48000000000000020E-7	-2.05887105288653460E-1
1.48500000000000032E-7	-2.09816537134418635E-1
1.48999999999999999E-7	-2.14484454726718843E-1
1.49499999999999988E-7	-2.18682131314302097E-1
1.50000000000000000E-7	-2.21195786050315757E-1
1.50500000000000034E-7	-2.21029516981804131E-1
1.51000000000000001E-7	-2.17342600657458629E-1
1.51499999999999990E-7	-2.09483767724248304E-1
1.52000000000000024E-7	-1.97016001636258498E-1
1.52500000000000036E-7	-1.79767109011464843E-1
1.53000000000000025E-7	-1.57919670581076566E-1
1.53499999999999992E-7	-1.32096305052830210E-1
1.54000000000000004E-7	-1.03389842475837535E-1
1.54499999999999971E-7	-7.32856105997853469E-2
1.55000000000000004E-7	-4.35203564161839029E-2
1.55500000000000016E-7	-1.57989635587486688E-2
