time	imag(VoutPA[1])
1.30500000000000038E-7	-3.20625414273839837E-1
1.31000000000000005E-7	-3.27616806433225038E-1
1.31499999999999995E-7	-3.26501514324867603E-1
1.32000000000000006E-7	-3.16737143044310354E-1
1.32500000000000018E-7	-2.97280658288774147E-1
1.33000000000000007E-7	-2.66543413762880288E-1
1.33499999999999974E-7	-2.22476348568019500E-1
1.34000000000000008E-7	-1.62986135074910798E-1
1.34500000000000042E-7	-8.75130676859562584E-2
1.35000000000000009E-7	-1.42669518508322390E-3
1.35499999999999998E-7	8.05526310932770784E-2
1.36000000000000032E-7	1.43521452949624284E-1
1.36500000000000021E-7	1.83232612715563903E-1
1.37000000000000011E-7	2.03087768364983701E-1
1.37499999999999978E-7	2.07318880625210245E-1
1.38000000000000012E-7	1.98592126332808072E-1
1.38499999999999979E-7	1.78486200610971957E-1
1.39000000000000012E-7	1.48485229917765937E-1
1.39500000000000002E-7	1.10669011741609102E-1
1.40000000000000013E-7	6.78279389481332373E-2
1.40500000000000025E-7	2.30686329634268406E-2
1.41000000000000014E-7	-2.06213570430727700E-2
1.41500000000000004E-7	-6.06827134189893869E-2
1.41999999999999948E-7	-9.53696841479130875E-2
1.42500000000000027E-7	-1.23947475529986018E-1
1.42999999999999994E-7	-1.46493926029914401E-1
1.43499999999999983E-7	-1.63522115539962631E-1
1.44000000000000017E-7	-1.75681514978403452E-1
1.44500000000000028E-7	-1.83630117694278150E-1
1.44999999999999996E-7	-1.88019627211206020E-1
1.45500000000000007E-7	-1.89524895415567185E-1
1.45999999999999996E-7	-1.88819282704948654E-1
1.46500000000000030E-7	-1.86566720362852512E-1
1.47000000000000020E-7	-1.83388649615844535E-1
1.47500000000000053E-7	-1.79823134179278821E-1
1.48000000000000020E-7	-1.76309529563329015E-1
1.48500000000000032E-7	-1.73205460328063410E-1
1.48999999999999999E-7	-1.70827510496167267E-1
1.49499999999999988E-7	-1.69485403265998436E-1
1.50000000000000000E-7	-1.69548966381109256E-1
1.50500000000000034E-7	-1.71244770999385754E-1
1.51000000000000001E-7	-1.74699175687706365E-1
1.51499999999999990E-7	-1.79884217716456241E-1
1.52000000000000024E-7	-1.86551316243175536E-1
1.52500000000000036E-7	-1.94173255372524434E-1
1.53000000000000025E-7	-2.01915641446529781E-1
1.53499999999999992E-7	-2.08663081911591020E-1
1.54000000000000004E-7	-2.13124933069071476E-1
